Brand,Flavour
New Touch,T's Restaurant Tantanmen 
Just Way,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles
Nissin,Cup Noodles Chicken Vegetable
Wei Lih,GGE Ramen Snack Tomato Flavor
Ching's Secret,Singapore Curry
Samyang Foods,Kimchi song Song Ramen
Acecook,Spice Deli Tantan Men With Cilantro
Ikeda Shoku,Nabeyaki Kitsune Udon
Ripe'n'Dry,Hokkaido Soy Sauce Ramen
KOKA,The Original Spicy Stir-Fried Noodles
